"","Salary","Age","G","MP","mean_views","PTS","GS","X3P.","X2P.","FT.","PF","STL","BLK","TOV","Play","Season","Pos1"
"1311",10464092,28,35,34.4,730.293150684932,13.3,35,0.378,0.518,0.764,3.6,2.1,1.3,1.3,0,3,4
"1313",14357750,30,74,21.7,707.046575342466,9.5,36,0.226,0.589,0.724,1.7,0.1,1.1,1.3,0,3,1
"1314",1690000,20,63,20.5,176.545205479452,8.5,46,0.315,0.543,0.783,2.3,0.7,0.4,1.2,0,3,4
"1315",3472887,26,72,26.3,1257.87397260274,11.2,49,0.356,0.478,0.884,2,0.8,0.2,0.8,0,3,5
"1316",1544951,27,66,23.5,120.868493150685,7.6,45,0.351,0.453,0.722,1.7,0.5,0.2,1,0,3,5
"1317",4697823,25,15,10.1,6.17183098591549,0.9,0,0.077,0.429,0.833,1.2,0.4,0.1,0.3,0,3,5
"1318",2470356,24,59,20.9,212.931506849315,8.9,21,0.184,0.436,0.645,1.8,0.7,0.5,1.2,0,3,4
"1319",1378242,25,82,20.4,237.838356164384,5.2,16,0.386,0.569,0.762,2.1,0.7,0.3,0.9,0,3,4
"1320",10087200,32,69,26.7,811.802739726027,13.7,51,0.402,0.537,0.816,2.3,0.8,0.5,1.7,0,3,2
"1322",35665000,30,73,36,4348.84109589041,22.9,73,0.29,0.481,0.656,3.4,1.9,0.5,4.5,1,3,3
"1323",20421546,30,25,12.9,619.120547945205,2.5,8,0.225,0.414,0.75,1,0.2,0,0.6,0,3,2
"1324",1349383,24,81,24.2,642.191780821918,6.7,32,0.373,0.527,0.873,2.1,0.8,0,0.8,0,3,3
"1325",838464,28,42,10.8,146.016438356164,4,0,0.409,0.576,0.789,0.8,0.1,0.1,0.4,0,3,5
"1326",2098196,32,36,11.1,363.256830601093,3.9,4,0.324,0.564,0.625,1.5,0.3,0.7,0.6,0,3,1
"1327",2760094,24,47,16.8,491.655737704918,6.1,5,0.306,0.521,0.609,1,0.8,0.1,0.5,0,3,2
"1328",1378242,24,56,10.6,369.350684931507,3.3,3,0.315,0.565,0.615,0.8,0.2,0.1,0.3,0,3,2
"1329",21666667,29,74,27.2,1456.09315068493,15,51,0.29,0.586,0.763,2.9,0.4,1.4,1.5,0,3,1
"1330",2795000,28,74,18.9,2745.9397260274,7.9,2,0.45,0.463,0.846,1.3,0.5,0.2,0.8,0,3,5
"1331",1942422,27,56,17.6,473.227397260274,9.4,2,0.333,0.449,0.833,1.2,0.7,0.3,1.2,0,3,3
"1332",3375360,20,82,26.5,635.739726027397,10.8,73,0.367,0.503,0.8,2.1,1.2,0.5,1.7,0,3,3
"1333",77250,22,20,13.4,144.167123287671,4.4,0,0.318,0.465,0.714,1.5,0.4,0.4,0.3,0,3,5
"1334",1325531,25,73,19.6,141.643835616438,6.5,11,0.27,0.475,0.667,1.7,1.2,0.4,0.8,0,3,3
"1335",8307692,33,64,15.1,2751.53278688525,4,0,0,0.524,0.784,1.2,0.5,0.4,0.6,0,3,3
"1336",2512601,28,57,21.9,201.325136612022,7.5,3,0.354,0.429,0.69,1.5,0.8,0.1,1.2,0,3,3
"1338",1544951,22,22,8,246.58904109589,3,1,0.462,0.556,0.529,1.3,0.2,0.3,0.5,0,3,2
"1339",12763467,27,44,20,112.501369863014,4.3,15,0.317,0.468,0.719,1.8,0.5,0.2,0.7,0,3,4
"1340",1656092,25,68,28.1,617.134246575342,16.8,4,0.335,0.528,0.806,2.8,0.6,0.3,2.2,0,3,3
"1341",3940401,22,66,18.3,274.868493150685,6.9,7,0.288,0.484,0.781,1.7,0.9,0.2,1.2,0,3,4
"1342",37457154,30,69,33.8,15609.1178082192,27.3,69,0.437,0.525,0.916,2.4,1.3,0.4,2.8,1,3,3
"1343",1378242,23,58,17.8,540.378082191781,6.4,7,0.361,0.558,0.69,1.5,0.4,0.1,0.8,0,3,5
"1344",24157304,25,80,33.4,1869.78082191781,13.9,80,0,0.596,0.5,2.6,1.5,1,1.7,0,3,1
"1345",1487694,21,42,10.5,612.449315068493,3.2,0,0.326,0.333,0.6,0.6,0.3,0,0.5,0,3,4
"1349",14000000,33,70,24.1,336.641095890411,10.8,57,0.324,0.583,0.757,2.7,0.8,0.6,1,0,3,2
"1350",2118840,20,74,26.1,578.950684931507,6.9,74,0.366,0.56,0.725,3.1,0.5,0.2,0.6,0,3,5
"1351",10500000,27,81,26.5,377.586301369863,15.1,0,0.383,0.484,0.875,1.5,0.9,0.4,1.1,0,3,5
"1352",3050389,24,79,22.7,2430.52876712329,9,14,0.353,0.422,0.785,1.3,0.9,0.3,0.9,0,3,3
"1353",5250000,34,50,12.2,318.767123287671,3.8,2,0.436,0.521,0.636,0.8,0.9,0.1,0.5,0,3,4
"1354",13764045,30,81,30.7,325.460273972603,12.6,81,0.349,0.564,0.644,2.4,1.5,0.4,1.5,0,3,2
"1355",77250,23,18,11.7,165.038356164384,4.5,0,0.261,0.481,0.864,0.8,0.3,0,1,0,3,5
"1356",1378242,21,72,20.8,381.630136986301,10.5,53,0.333,0.685,0.781,1.8,0.3,0.9,0.8,0,3,1
"1358",2799720,21,64,15.2,1337.25205479452,5,5,0.32,0.522,0.667,1.6,0.3,0.8,0.5,0,3,1
"1359",1832107,28,59,19,143.693150684932,5.3,19,0.366,0.494,0.759,1.9,0.5,0.1,1.3,0,3,3
"1360",17325000,26,65,31.6,744.046575342466,18.1,63,0.34,0.442,0.841,2.2,0.8,0.1,1.6,0,3,5
"1361",1880268,23,50,13.4,1.14285714285714,4.6,7,0.31,0.451,0.756,1.5,0.4,0.2,0.4,0,3,4
