"Year","Month","Day_of_Week","Hour","Division","Location","Brand","Type","Speed","Colour","Cost","Status","Total_theft"
2024,4,1,19,12,1,1,5,20,1,1200,1,38
2024,3,6,20,22,1,1,4,21,1,300,1,21
2024,4,1,16,55,1,2,5,21,7,450,1,38
2024,4,2,22,14,3,2,5,20,5,100,1,38
2024,4,2,9,52,2,2,4,21,2,400,1,38
2024,4,3,17,52,5,2,5,3,1,1600,1,23
2024,4,2,23,51,1,2,1,16,4,1200,1,38
2024,4,4,6,14,5,1,1,6,5,750,1,22
2024,4,4,10,52,3,2,5,32,7,1600,1,22
2024,4,6,17,14,3,2,5,3,1,800,1,24
2024,4,6,15,33,3,2,5,5,1,800,1,24
2024,4,7,17,14,5,2,2,28,7,711,1,25
2024,4,7,13,52,5,2,2,20,2,598,1,25
2024,4,6,15,42,2,2,1,25,8,798,1,24
2024,3,5,8,52,1,2,1,9,7,1898.99,1,25
2024,4,1,19,51,5,2,5,7,2,1500,1,38
2024,4,1,13,52,4,2,5,11,1,1300,1,38
2024,4,1,17,52,2,2,5,30,7,800,1,38
2024,4,1,16,52,3,2,5,30,7,1000,1,38
2024,4,2,14,32,1,1,5,10,7,10000,1,38
2024,4,2,15,42,2,2,5,30,1,549.99,1,38
2024,4,2,6,52,3,2,1,21,4,300,1,38
2024,4,1,12,51,1,2,5,1,8,350,1,38
2024,3,3,17,52,5,1,5,21,4,900,1,21
2024,4,2,3,55,1,2,1,21,1,800,1,38
2024,4,1,8,11,1,1,5,27,7,900,1,38
2024,4,3,5,53,2,1,4,2,8,2000,1,23
2024,4,3,15,23,4,2,4,6,2,500,1,23
2024,4,2,21,33,2,2,1,3,8,1100,1,38
2024,4,2,3,55,1,1,1,16,7,800,1,38
2024,4,3,7,53,1,2,5,7,1,800,1,23
2024,4,3,18,51,5,2,4,34,1,150,1,23
2024,4,4,9,52,3,1,5,21,7,700,1,22
2024,4,1,18,51,2,2,5,25,1,1000,1,38
2024,4,5,4,11,1,2,4,21,2,1000,1,29
2024,4,5,12,52,2,2,5,3,1,1200,1,29
2024,4,4,9,51,5,2,5,10,2,2000,1,22
2024,4,5,2,32,2,1,5,11,1,1500,1,29
2024,4,5,18,32,1,2,4,21,4,300,1,29
2024,4,6,18,52,5,2,5,25,7,550,1,24
2024,4,4,4,12,1,1,4,10,4,1000,1,22
2024,4,4,4,12,1,1,4,10,2,1000,1,22
2024,4,7,14,11,1,1,1,10,6,500,1,25
2023,4,5,9,22,1,2,4,27,5,200,1,23
2024,4,4,3,11,1,2,5,21,1,4633,1,22
2024,4,1,16,43,3,2,4,7,7,699,1,38
2024,4,6,19,14,3,2,5,8,1,800,1,24
2024,4,1,22,53,2,1,4,8,1,3000,1,38
2024,4,4,10,14,1,2,1,32,2,15999,1,22
2024,4,4,17,14,1,2,4,21,1,800,1,22
2024,4,2,16,52,3,2,5,12,2,4000,1,38
2024,4,1,19,22,1,2,4,21,3,451.99,1,38
2024,4,2,18,52,3,2,5,32,1,2499,1,38
2024,4,2,7,14,1,2,1,1,7,120,1,38
2024,4,2,7,14,1,1,5,18,7,649.99,1,38
2024,4,2,11,11,2,2,5,21,1,250,1,38
2024,4,2,6,14,1,2,1,20,1,250,1,38
2024,4,1,4,43,1,2,5,13,5,800,1,38
2024,4,7,17,51,1,1,4,21,4,789.87,1,25
2024,4,2,17,53,2,1,4,3,7,750,1,38
2024,4,2,19,55,2,1,4,10,5,500,1,38
2024,4,4,9,51,4,2,2,60,7,2350,1,22
2024,4,2,21,31,3,2,2,8,1,1230,1,38
2024,4,7,21,32,1,2,2,30,7,1500,1,25
2024,4,5,11,22,3,2,5,1,2,220,1,29
2024,4,4,16,11,5,2,5,1,2,1200,1,22
2024,4,4,17,14,1,1,1,8,8,1200,1,22
2024,4,4,17,14,1,1,1,8,8,1200,1,22
2024,4,5,9,14,2,1,5,21,1,800,1,29
2024,4,6,6,14,1,2,1,21,1,900,1,24
2024,4,5,8,52,3,2,5,3,4,300,1,29
2024,2,2,8,32,4,2,5,10,1,960.49,1,12
2024,4,6,18,55,5,2,5,1,7,1200,1,24
2024,4,4,19,51,2,2,5,25,1,700,1,22
2024,4,1,8,11,4,2,4,21,4,700,1,38
2024,4,1,15,55,1,2,5,27,1,858.78,1,38
2024,4,2,18,51,2,2,4,40,8,200,1,38
2024,4,3,9,51,5,2,2,32,1,2600,1,23
2024,4,2,15,52,5,2,2,30,7,2700,1,38
2024,4,2,19,14,1,1,5,16,4,1000,1,38
2024,4,3,14,53,5,2,5,30,1,900,1,23
2024,4,1,13,51,4,2,2,1,7,600,1,38
2024,4,4,6,11,1,2,2,10,8,2400,3,22
2024,4,1,14,14,5,2,1,24,1,1400,1,38
2024,4,5,16,14,3,2,1,24,1,300,1,29
2024,4,5,3,52,3,2,5,10,6,1700,1,29
2024,4,3,12,55,1,2,4,14,7,4000,1,23
2024,4,5,23,52,1,2,5,11,7,900,1,29
2024,4,3,13,55,1,2,1,7,1,600,1,23
2024,4,4,15,22,4,1,4,8,1,711,1,22
2024,4,5,12,51,4,2,5,16,1,3650,1,29
2024,4,5,11,51,2,2,2,5,6,1200,1,29
2024,4,5,15,52,3,2,5,16,8,1800,1,29
2024,4,6,18,42,2,1,4,21,1,316,1,24
2024,4,5,20,13,5,1,4,7,2,100,1,29
2024,4,6,16,14,2,2,5,21,2,680,1,24
2024,4,7,5,52,1,2,4,15,1,400,1,25
2024,4,5,23,14,1,1,5,1,4,400,1,29
2024,4,5,23,14,1,1,5,1,4,500,1,29
2024,4,7,19,22,2,2,1,1,8,800,1,25
2024,4,1,11,52,2,2,1,1,7,2500,1,38
2024,4,3,18,32,1,2,5,20,7,380,1,23
2024,4,1,9,52,2,2,4,21,4,200,1,38
2024,4,7,22,55,2,2,1,7,1,1500,1,25
2024,4,5,11,11,4,1,4,21,2,411,1,29
2024,5,3,16,14,1,1,1,18,8,1000,1,50
2024,5,4,18,41,2,2,4,24,7,1500,1,52
2024,5,3,2,52,3,2,4,1,7,600,1,50
2024,4,1,8,51,5,2,5,40,7,1104,1,38
2024,5,4,3,13,3,2,1,1,7,500,1,52
2024,4,2,16,12,1,1,4,21,6,150,1,38
2024,4,6,14,42,1,2,5,15,7,100,1,24
2024,5,4,10,11,4,2,5,24,1,400,1,52
2024,5,3,8,52,5,2,5,24,8,600,1,50
2024,5,3,8,52,5,2,5,24,1,600,1,50
2024,5,3,14,11,5,1,5,12,7,900,1,50
2024,5,5,12,52,5,2,5,21,7,508,1,34
2024,5,3,18,55,3,2,4,20,2,995,1,50
2024,4,1,8,11,1,2,1,9,4,400,1,38
2024,5,5,8,11,3,2,1,1,1,600,1,34
2024,5,6,20,31,3,2,1,1,8,180,1,39
2024,5,6,8,55,1,2,1,6,8,330,1,39
2024,5,6,8,55,1,2,1,6,1,330,1,39
2024,5,6,13,52,2,2,2,25,7,2000,1,39
2024,5,5,20,31,2,2,1,1,7,2400,1,34
2024,4,2,16,32,2,2,4,12,7,300,1,38
2024,5,7,17,53,2,2,2,51,7,2000,1,41
2024,5,7,16,55,1,2,1,1,8,1500,2,41
2024,5,4,12,41,1,2,4,7,7,200,1,52
2024,4,2,12,52,1,1,5,16,1,1000,1,38
2024,5,6,16,11,1,2,5,8,3,1100,1,39
2024,5,6,16,11,1,2,5,7,3,1100,3,39
2024,5,6,7,14,5,2,4,40,6,1000,1,39
2024,5,4,11,12,2,2,2,18,4,1500,1,52
2024,5,1,10,51,5,2,1,18,1,1500,1,43
2024,5,4,11,12,2,2,4,18,6,350,1,52
2024,5,6,9,55,3,1,4,21,3,2000,1,39
2024,5,4,16,53,2,1,2,9,1,4600,1,52
2024,5,1,11,14,5,2,5,21,7,500,1,43
2024,5,7,23,51,5,2,5,21,1,1000,1,41
2024,5,1,1,43,1,2,2,20,1,899,1,43
2024,5,1,19,52,5,1,2,20,1,670,1,43
2024,4,2,21,51,2,2,5,3,1,800,1,38
2024,5,1,19,55,1,2,2,1,1,2000,1,43
2024,5,7,21,52,4,2,4,21,1,847.5,1,41
2024,5,2,17,41,3,2,2,25,1,800,1,47
2024,5,1,19,55,1,2,5,10,1,500,1,43
2024,5,1,12,14,2,2,5,32,8,800,1,43
2024,5,1,10,11,3,2,5,1,1,500,1,43
2024,5,2,17,52,3,2,5,7,4,500,1,47
2024,5,2,12,53,4,2,5,21,1,700,1,47
2024,5,2,22,55,1,1,1,21,2,400,1,47
2024,5,1,9,14,3,2,5,14,2,700,1,43
2024,5,3,18,22,3,2,4,7,1,200,1,50
2024,5,3,8,14,1,2,1,1,6,500,1,50
2024,5,3,3,55,1,2,5,3,2,769,1,50
2024,5,5,16,12,2,2,4,35,7,677.95,1,34
2024,5,3,9,52,3,2,4,18,5,2000,1,50
2024,5,3,9,55,1,2,1,21,1,350,1,50
2024,5,4,14,14,3,1,5,8,2,800,1,52
2024,5,2,23,12,2,2,5,12,8,7000,1,47
2024,5,3,7,22,3,2,1,7,7,1500,1,50
2024,5,4,19,53,3,2,2,32,1,1269.99,1,52
2024,5,4,18,14,2,2,1,1,8,1000,1,52
2024,5,6,18,51,5,2,5,24,1,615,1,39
2024,5,7,9,52,2,2,5,3,6,1200,1,41
2024,5,7,16,53,2,2,2,1,1,3200,1,41
2024,5,6,20,51,2,2,2,7,1,1300,1,39
2024,5,6,21,11,2,1,1,21,1,1000,1,39
2024,5,1,2,32,1,2,5,5,7,210,1,43
2024,5,1,15,31,1,2,4,27,3,2500,1,43
2024,5,1,14,33,5,2,5,50,1,1200,1,43
2024,5,7,10,22,2,2,2,1,1,500,1,41
2024,5,1,12,11,2,2,5,10,5,1000,1,43
2024,4,7,19,52,1,2,4,10,7,1800,1,25
2024,5,2,12,22,1,2,4,15,1,1000,1,47
2024,5,1,15,14,1,2,5,30,1,3700,1,43
2024,5,2,15,53,5,2,5,21,1,1300,1,47
2024,5,4,12,51,5,1,5,11,7,12000,1,52
